id,season,prenda,nivel,subnivel,tipo_color_temporada,color,color_categoria,publishable,formales_informales,color_l,color_categoria_l,adventurous,application,basic,print,style,weather,talla_lookiero
11fP1517_clwothr0_sm,7,pant,1,1.1,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,three,work,0,smooth,classic,warm_season,"['S', 'XL', 'XS', 'L', 'M']"
11rP1517_clwothr0_sm,7,pant,1,1.1,CALIDOS/VERANO,pink,ROSA,True,N,r,I,three,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'XS']"
11ajM819_clwotwo0_sm,9,jeans,1,1.1,CALIDOS/VERANO,coral,ROJO,True,IR,aj,C,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'XXL']"
11ahM819_clwotwo0_sm,9,jeans,1,1.1,FRIOS/INVIERNO,taupe,MARRÓN,True,IR,ah,B,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'XXL']"
21kS2267_clwotwo0_sm,9,shirt,2,2.1,FRIOS/INVIERNO,khaki,VERDE,True,FR,k,G,two,work,0,smooth,classic,warm_season,"['XXL', 'M', 'L', 'S', 'XS', 'XL']"
21rS2267_clwotwo0_sm,9,shirt,2,2.1,CALIDOS/VERANO,pink,ROSA,True,FR,r,I,two,work,0,smooth,classic,warm_season,"['S', 'L', 'XL', 'XXL', 'XS', 'M']"
21nS2267_clwotwo0_sm,9,shirt,2,2.1,CALIDOS/VERANO,white,BLANCO,False,FR,n,E,two,work,0,smooth,classic,warm_season,"['L', 'XL', 'XXL', 'M', 'S', 'XS']"
21aS2267_clwotwo0_sm,9,shirt,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,FR,a,A,two,work,0,smooth,classic,warm_season,"['XS', 'L', 'XXL', 'XL', 'M', 'S']"
22kJ1822_stfrtwo0_tw,9,sweater,2,2.2,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,two,freetime,0,two_tone,street,cold,"['XS', 'S', 'XXL', 'M', 'XL', 'L']"
11nM609_clwotwo0_sm,9,jeans,1,1.1,CALIDOS/VERANO,white,BLANCO,True,IR,n,E,two,work,0,smooth,classic,warm_season,"['XXL', 'L', 'S', 'XL', 'M']"
12aD2340_bofrtwo0_fl,9,dress,1,1.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,freetime,0,floral,boho,warm_season,"['L', 'XL', 'XS', 'M', 'S', 'XXL', 'XXXL']"
22uJ1727_stfrthr0_sm,9,sweater,2,2.2,CALIDOS/VERANO,orange,NARANJA,True,N,u,J,three,freetime,0,smooth,street,warm_season,"['S', 'XL', 'XS', 'L', 'M']"
22xJ1727_stfrthr0_sm,9,sweater,2,2.2,CALIDOS/VERANO,green_light,VERDE,True,N,x,G,three,freetime,0,smooth,street,warm_season,"['L', 'S', 'XL', 'M', 'XS']"
22aJ1727_stfrthr0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,freetime,0,smooth,street,warm_season,"['XL', 'L', 'M', 'S', 'XS']"
22amJ1727_stfrthr0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,nude,MARRÓN,True,N,am,B,three,freetime,0,smooth,street,warm_season,"['M', 'XL', 'L', 'XS', 'S']"
22aoJ1727_stfrthr0_sm,9,sweater,2,2.2,CALIDOS/VERANO,silver,PLATEADO,True,N,ao,L,three,freetime,0,smooth,street,warm_season,"['XL', 'L', 'M', 'S', 'XS']"
22gJ1727_stfrthr0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,smooth,street,warm_season,"['S', 'L', 'XL', 'XS', 'M']"
22aJ1763_clfrtwo0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,freetime,0,smooth,classic,cold,"['S', 'L', 'M', 'XL', 'XS']"
22gJ1825_bofrthr0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,smooth,boho,cold_season,"['XS', 'M', 'S', 'L']"
22cJ1825_bofrthr0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,rust,MARRÓN,True,N,c,B,three,freetime,0,smooth,boho,cold_season,"['M', 'L', 'XS', 'XL', 'S']"
21tS2273_cawotwo0_sm,9,shirt,2,2.1,FRIOS/INVIERNO,blue,AZUL,True,FR,t,F,two,work,0,smooth,casual,warm_season,"['L', 'M', 'S', 'XL', 'XXXL', 'XXL']"
21aT1835_bowotwo0_sm,9,top,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,boho,warm,"['S', 'M', 'L']"
21kT1835_bowotwo0_sm,9,top,2,2.1,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,two,work,0,smooth,boho,warm,"['L', 'M', 'S']"
21fT1835_bowotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,two,work,0,smooth,boho,warm,"['L', 'M', 'S']"
21amT1835_bowotwo0_sm,9,top,2,2.1,FRIOS/INVIERNO,nude,MARRÓN,True,N,am,B,two,work,0,smooth,boho,warm,"['M', 'L', 'S']"
11gM246_clwotwo0_sm,8,jeans,1,1.1,FRIOS/INVIERNO,blue_dark,AZUL,True,IR,g,F,two,work,0,smooth,classic,warm_season,"['XL', 'XXL', 'M', 'S', 'XS', 'L']"
11aM246_clwotwo0_sm,8,jeans,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,IR,a,A,two,work,0,smooth,classic,warm_season,"['L', 'S', 'XL', 'XXL', 'XS', 'M']"
31kK909_clwotwo0_sm,9,trench,3,3.1,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,two,work,0,smooth,classic,cold_season,"['S', 'L', 'M', 'XL', 'XS']"
22aJ1733_bofrtwo0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,freetime,0,smooth,boho,cold,"['XL', 'L', 'M', 'XS', 'S']"
22bJ1733_bofrtwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,beige,MARRÓN,True,N,b,B,two,freetime,0,smooth,boho,cold,"['XL', 'XS', 'L', 'S', 'M']"
